Iteration	Best Cost	Tabu Violations	Aspiration Uses
1	498	0	0
2	497	0	0
3	496	0	0
4	495	0	0
5	494	0	0
6	493	0	0
7	492	0	0
8	491	0	0
9	490	0	0
10	489	0	0
11	488	0	0
12	487	0	0
13	486	0	0
14	485	0	0
15	484	0	0
16	483	0	0
17	482	0	0
18	481	0	0
19	480	0	0
20	479	0	0
21	478	0	0
22	477	0	0
23	476	0	0
24	475	0	0
25	474	0	0
26	473	0	0
27	472	0	0
28	471	0	0
29	470	0	0
30	469	0	0
31	468	0	0
32	467	0	0
33	466	0	0
34	465	0	0
35	464	0	0
36	463	0	0
37	462	0	0
38	461	0	0
39	460	0	0
40	459	0	0
41	458	0	0
42	457	0	0
43	456	0	0
44	455	0	0
45	454	0	0
46	453	0	0
47	452	0	0
48	451	0	0
49	450	0	0
50	449	0	0
51	448	0	0
52	447	0	0
53	446	0	0
54	445	0	0
55	444	0	0
56	443	0	0
57	442	0	0
58	441	0	0
59	440	0	0
60	439	0	0
61	438	0	0
62	437	0	0
63	436	0	0
64	435	0	0
65	434	0	0
66	433	0	0
67	432	0	0
68	431	0	0
69	430	0	0
70	429	0	0
71	428	0	0
72	427	0	0
73	426	0	0
74	425	0	0
75	424	0	0
76	423	0	0
77	422	0	0
78	421	0	0
79	420	0	0
80	419	0	0
81	418	0	0
82	417	0	0
83	416	0	0
84	415	0	0
85	414	0	0
86	413	0	0
87	412	0	0
88	411	0	0
89	410	0	0
90	409	0	0
91	408	0	0
92	407	0	0
93	406	0	0
94	405	0	0
95	404	0	0
96	403	0	0
97	402	0	0
98	401	0	0
99	400	0	0
100	399	0	0
101	398	0	0
102	397	0	0
103	396	0	0
104	395	0	0
105	394	0	0
106	393	0	0
107	392	0	0
108	391	0	0
109	390	0	0
110	389	0	0
111	388	0	0
112	387	0	0
113	386	0	0
114	385	0	0
115	384	0	0
116	383	0	0
117	382	0	0
118	381	0	0
119	380	0	0
120	379	0	0
121	378	0	0
122	377	0	0
123	376	0	0
124	375	0	0
125	374	0	0
126	373	0	0
127	372	0	0
128	371	0	0
129	370	0	0
130	369	0	0
131	368	0	0
132	367	0	0
133	366	0	0
134	365	0	0
135	364	0	0
136	363	0	0
137	362	0	0
138	361	0	0
139	360	0	0
140	359	0	0
141	358	0	0
142	357	0	0
143	356	0	0
144	355	0	0
145	354	0	0
146	353	0	0
147	352	0	0
148	351	0	0
149	350	0	0
150	349	0	0
151	348	0	0
152	347	0	0
153	346	0	0
154	345	0	0
155	344	0	0
156	343	0	0
157	342	0	0
158	341	0	0
159	340	0	0
160	339	0	0
161	338	0	0
162	337	0	0
163	336	0	0
164	335	0	0
165	334	0	0
166	333	0	0
167	332	0	0
168	331	0	0
169	330	0	0
170	329	0	0
171	328	0	0
172	327	0	0
173	326	0	0
174	325	0	0
175	324	0	0
176	323	0	0
177	322	0	0
178	321	0	0
179	320	0	0
180	319	0	0
181	318	0	0
182	317	0	0
183	316	0	0
184	315	0	0
185	314	0	0
186	313	0	0
187	312	0	0
188	311	0	0
189	310	0	0
190	309	0	0
191	308	0	0
192	307	0	0
193	306	0	0
194	305	0	0
195	304	0	0
196	303	0	0
197	302	0	0
198	301	0	0
199	300	0	0
200	299	0	0
201	298	0	0
202	297	0	0
203	296	0	0
204	295	0	0
205	294	0	0
206	293	0	0
207	292	0	0
208	291	0	0
209	290	0	0
210	289	0	0
211	288	0	0
212	287	0	0
213	286	0	0
214	285	0	0
215	284	0	0
216	283	0	0
217	282	0	0
218	281	0	0
219	280	0	0
220	279	0	0
221	278	0	0
222	277	0	0
223	276	0	0
224	275	0	0
225	274	0	0
226	273	0	0
227	272	0	0
228	271	0	0
229	271	1	0
230	271	1	0
231	271	1	0
232	271	1	0
233	271	1	0
234	271	1	0
235	271	1	0
236	271	1	0
237	271	1	0
238	271	1	0
239	271	1	0
240	271	1	0
241	271	1	0
242	271	1	0
243	271	1	0
244	271	1	0
245	271	1	0
246	271	1	0
247	271	1	0
248	271	1	0
249	271	1	0
250	271	1	0
251	271	1	0
252	271	1	0
253	271	1	0
254	271	1	0
255	271	1	0
256	271	1	0
257	271	1	0
258	271	1	0
259	271	1	0
260	271	1	0
261	271	1	0
262	271	1	0
263	271	1	0
264	271	1	0
265	271	1	0
266	271	1	0
267	271	1	0
268	271	1	0
269	271	1	0
270	271	1	0
271	271	1	0
272	271	1	0
273	271	1	0
274	271	1	0
275	271	1	0
276	271	1	0
277	271	1	0
278	271	1	0
279	271	1	0
280	271	1	0
281	271	1	0
282	271	1	0
283	271	1	0
284	271	1	0
285	271	1	0
286	271	1	0
287	271	1	0
288	271	1	0
289	271	1	0
290	271	1	0
291	271	1	0
292	271	1	0
293	271	1	0
294	271	1	0
295	271	1	0
296	271	1	0
297	271	1	0
298	271	1	0
299	271	1	0
300	271	1	0
301	271	1	0
302	271	1	0
303	271	1	0
304	271	1	0
305	271	1	0
306	271	1	0
307	271	1	0
308	271	1	0
309	271	1	0
310	271	1	0
311	271	1	0
312	271	1	0
313	271	1	0
314	271	1	0
315	271	1	0
316	271	1	0
317	271	1	0
318	271	1	0
319	271	1	0
320	271	1	0
321	271	1	0
322	271	1	0
323	271	1	0
324	271	1	0
325	271	1	0
326	271	1	0
327	271	1	0
328	271	1	0
329	271	1	0
330	271	1	0
331	271	1	0
332	271	1	0
333	271	1	0
334	271	1	0
335	271	1	0
336	271	1	0
337	271	1	0
338	271	1	0
339	271	1	0
340	271	1	0
341	271	1	0
342	271	1	0
343	271	1	0
344	271	1	0
345	271	1	0
346	271	1	0
347	271	1	0
348	271	1	0
349	271	1	0
350	271	1	0
351	271	1	0
352	271	1	0
353	271	1	0
354	271	1	0
355	271	1	0
356	271	1	0
357	271	1	0
358	271	1	0
359	271	1	0
360	271	1	0
361	271	1	0
362	271	1	0
363	271	1	0
364	271	1	0
365	271	1	0
366	271	1	0
367	271	1	0
368	271	1	0
369	271	1	0
370	271	1	0
371	271	1	0
372	271	1	0
373	271	1	0
374	271	1	0
375	271	1	0
376	271	1	0
377	271	1	0
378	271	1	0
379	271	1	0
380	271	1	0
381	271	1	0
382	271	1	0
383	271	1	0
384	271	1	0
385	271	1	0
386	271	1	0
387	271	1	0
388	271	1	0
389	271	1	0
390	271	1	0
391	271	1	0
392	271	1	0
393	271	1	0
394	271	1	0
395	271	1	0
396	271	1	0
397	271	1	0
398	271	1	0
399	271	1	0
400	271	1	0
401	271	1	0
402	271	1	0
403	271	1	0
404	271	1	0
405	271	1	0
406	271	1	0
407	271	1	0
408	271	1	0
409	271	1	0
410	271	1	0
411	271	1	0
412	271	1	0
413	271	1	0
414	271	1	0
415	271	1	0
416	271	1	0
417	271	1	0
418	271	1	0
419	271	1	0
420	271	1	0
421	271	1	0
422	271	1	0
423	271	1	0
424	271	1	0
425	271	1	0
426	271	1	0
427	271	1	0
428	271	1	0
429	271	1	0
430	271	1	0
431	271	1	0
432	271	1	0
433	271	1	0
434	271	1	0
435	271	1	0
436	271	1	0
437	271	1	0
438	271	1	0
439	271	1	0
440	271	1	0
441	271	1	0
442	271	1	0
443	271	1	0
444	271	1	0
445	271	1	0
446	271	1	0
447	271	1	0
448	271	1	0
449	271	1	0
450	271	1	0
451	271	1	0
452	271	1	0
453	271	1	0
454	271	1	0
455	271	1	0
456	271	1	0
457	271	1	0
458	271	1	0
459	271	1	0
460	271	1	0
461	271	1	0
462	271	1	0
463	271	1	0
464	271	1	0
465	271	1	0
466	271	1	0
467	271	1	0
468	271	1	0
469	271	1	0
470	271	1	0
471	271	1	0
472	271	1	0
473	271	1	0
474	271	1	0
475	271	1	0
476	271	1	0
477	271	1	0
478	271	1	0
479	271	1	0
480	271	1	0
481	271	1	0
482	271	1	0
483	271	1	0
484	271	1	0
485	271	1	0
486	271	1	0
487	271	1	0
488	271	1	0
489	271	1	0
490	271	1	0
491	271	1	0
492	271	1	0
493	271	1	0
494	271	1	0
495	271	1	0
496	271	1	0
497	271	1	0
498	271	1	0
499	271	1	0
500	271	1	0
